Sira,Ticker,RSRating,RSScore,Fiyat,High52W,Low52W,ZirvedenUzaklik,DiptenYukselis,Tarih
1,KTLEV,99,1118.85,126.2,131.1,2.81,3.74,4384.15,2026-05-27
2,KGYO,99,810.85,12.67,13.34,0.33,5.02,3698.53,2026-05-27
3,HEDEF,99,574.99,142.6,160.3,7.23,11.04,1872.34,2026-05-27
4,BURVA,99,487.06,1236.0,1350.0,89.5,8.44,1281.01,2026-05-27
5,ANELE,99,464.4,95.1,96.95,13.32,1.91,613.96,2026-05-27
6,IEYHO,98,365.09,117.2,118.1,11.42,0.76,926.27,2026-05-27
7,DOGUB,98,347.01,116.8,146.5,14.89,20.27,684.42,2026-05-27
8,PRZMA,98,346.75,51.85,52.6,10.75,1.43,382.33,2026-05-27
9,CRDFA,98,345.64,37.5,38.06,3.0,1.47,1150.0,2026-05-27
10,GMTAS,98,256.71,45.0,54.9,7.62,18.03,490.62,2026-05-27
11,OZRDN,97,245.3,36.72,40.68,6.99,9.73,425.32,2026-05-27
12,YEOTK,97,232.94,107.5,123.6,32.3,13.03,232.82,2026-05-27
13,MANAS,97,227.62,24.1,32.24,4.9,25.25,391.84,2026-05-27
14,POLHO,97,223.79,19.95,25.3,3.6,21.15,453.73,2026-05-27
15,EDATA,96,221.71,16.78,26.18,3.81,35.91,340.42,2026-05-27
16,CVKMD,96,217.45,47.24,49.04,10.9,3.67,333.39,2026-05-27
17,INVES,96,209.77,615.0,822.5,193.8,25.23,217.34,2026-05-27
18,MAGEN,96,206.12,61.1,68.7,11.94,11.06,411.9,2026-05-27
19,EUPWR,96,202.74,76.1,91.95,23.3,17.24,226.61,2026-05-27
20,VERUS,95,202.49,577.0,600.0,168.7,3.83,242.03,2026-05-27
21,GEREL,95,191.76,40.16,43.58,10.13,7.85,296.45,2026-05-27
22,BARMA,95,190.11,59.55,62.5,16.3,4.72,265.34,2026-05-27
23,TERA,95,183.62,210.1,401.25,29.86,47.64,603.68,2026-05-27
24,EGEPO,94,182.39,19.46,20.1,5.79,3.18,236.1,2026-05-27
25,ICUGS,94,173.28,6.2,6.93,2.19,10.53,183.11,2026-05-27
26,KERVN,94,169.27,4.8,5.57,1.67,13.82,187.43,2026-05-27
27,FONET,94,167.02,5.43,6.39,1.92,15.02,183.49,2026-05-27
28,BSOKE,94,164.37,38.46,40.0,13.44,3.85,186.16,2026-05-27
29,VANGD,93,163.61,91.5,99.0,31.66,7.58,189.01,2026-05-27
30,KAPLM,93,163.19,586.5,746.5,197.3,21.43,197.26,2026-05-27
31,LIDER,93,162.08,114.9,154.05,38.73,25.41,196.69,2026-05-27
32,ASELS,93,159.29,380.25,450.0,126.74,15.5,200.03,2026-05-27
33,ALGYO,92,158.73,7.12,8.35,2.47,14.73,187.87,2026-05-27
34,AHSGY,92,158.02,21.32,26.6,5.25,19.85,306.41,2026-05-27
35,PKART,92,157.1,141.3,185.0,60.0,23.62,135.5,2026-05-27
36,AKSUE,92,156.1,37.46,40.02,13.12,6.4,185.52,2026-05-27
37,ARASE,92,152.78,113.6,119.5,44.25,4.94,156.72,2026-05-27
38,ARDYZ,91,152.25,59.3,62.2,24.23,4.66,144.73,2026-05-27
39,PCILT,91,152.06,36.76,36.8,11.51,0.11,219.35,2026-05-27
40,BURCE,91,151.36,48.76,84.8,13.97,42.5,249.03,2026-05-27
41,ONCSM,91,151.25,294.25,389.75,76.0,24.5,287.17,2026-05-27
42,CWENE,91,150.94,39.42,41.3,12.34,4.55,219.36,2026-05-27
43,TMPOL,90,150.78,300.0,703.0,65.25,57.33,359.77,2026-05-27
44,ICBCT,90,149.99,26.0,28.08,12.31,7.41,111.21,2026-05-27
45,MEGMT,90,147.38,75.85,95.3,24.32,20.41,211.88,2026-05-27
46,IZFAS,90,146.96,66.0,74.65,24.98,11.59,164.2,2026-05-27
47,MOBTL,89,145.88,15.28,15.58,6.21,1.93,146.05,2026-05-27
48,SARKY,89,144.85,28.72,51.02,10.17,43.71,182.43,2026-05-27
49,ISKPL,89,144.77,12.8,23.8,3.55,46.22,260.28,2026-05-27
50,SKBNK,89,144.15,13.17,15.0,4.36,12.2,202.12,2026-05-27
51,METRO,89,142.41,7.29,7.67,2.52,4.95,189.29,2026-05-27
52,ATATP,88,141.77,220.0,236.0,71.7,6.78,206.83,2026-05-27
53,RALYH,88,140.72,250.0,401.75,91.4,37.77,173.52,2026-05-27
